id,price,accommodates,host_total_listings_count,bedrooms,calculated_host_listings_count,host_is_superhost,neighbour
337986,20,2,1,1,1,f,Barking and Dagenham
514476,20,1,1,1,1,f,Haringey
554472,20,3,1,1,1,f,Newham
692371,20,2,1,1,1,f,Southwark
743739,20,1,1,1,1,f,Southwark
1496995,20,2,1,1,1,f,Redbridge
1918751,20,1,1,1,1,f,Redbridge
1984141,20,1,1,1,1,f,Hackney
3506033,20,2,1,1,1,f,Southwark
3940190,20,1,1,1,1,f,Hounslow
4042696,20,1,1,1,1,f,Westminster
4347791,20,1,1,1,1,f,Lambeth
4623309,20,1,1,1,1,t,Croydon
5183779,20,1,1,1,1,f,Camden
5429298,20,1,1,1,1,f,Hackney
6001085,20,1,1,1,1,f,Tower Hamlets
6138493,20,1,1,1,1,f,Haringey
6245963,20,2,1,1,1,f,Hackney
6366029,20,2,1,1,1,f,Lewisham
6709124,20,1,1,1,1,f,Ealing
6971334,20,2,1,1,1,f,Wandsworth
7003835,20,1,1,1,1,f,Lambeth
7120651,20,1,1,1,1,f,Haringey
7193173,20,2,1,1,1,f,Wandsworth
7195138,20,1,1,1,1,f,Haringey
7300854,20,1,1,1,1,f,Tower Hamlets
7303200,20,1,1,1,1,f,Wandsworth
7378649,20,2,1,1,1,f,Southwark
7507386,20,2,1,1,1,f,Tower Hamlets
7573526,20,2,1,1,1,f,Hackney
7618679,20,1,1,1,1,f,Lewisham
7833559,20,2,1,1,1,f,Hackney
7835716,20,3,1,1,1,f,Southwark
7914983,20,1,1,1,1,f,Tower Hamlets
8661636,20,2,1,1,1,f,Newham
8752156,20,2,1,1,1,f,Tower Hamlets
8821731,20,1,1,1,1,f,Haringey
9230205,20,2,1,1,1,f,Greenwich
9346645,20,1,1,1,1,f,Bexley
9401050,20,1,1,1,1,f,Tower Hamlets
9493277,20,2,1,1,1,f,Southwark
9625082,20,2,1,1,1,f,Southwark
9644846,20,2,1,1,1,f,Tower Hamlets
9666936,20,1,1,1,1,f,Newham
9755116,20,1,1,1,1,f,Hackney
9786658,20,2,1,1,1,f,Lambeth
9801970,20,1,1,1,1,f,Tower Hamlets
9835030,20,2,1,1,1,f,Tower Hamlets
9899180,20,1,1,1,1,f,Newham
9922000,20,2,1,1,1,f,Southwark
9922797,20,1,1,1,1,f,Kingston upon Thames
9967854,20,2,1,1,1,f,Islington
10026158,20,1,1,1,1,f,Westminster
10116848,20,1,1,1,1,f,Tower Hamlets
10218002,20,2,1,1,1,f,Newham
10398688,20,2,1,1,1,f,Haringey
10570277,20,1,1,1,1,f,Southwark
10573641,20,1,1,1,1,f,Islington
10738815,20,2,1,1,1,f,Lewisham
10831889,20,1,1,1,1,f,Hackney
10908371,20,1,1,1,1,f,Hackney
10986111,20,1,1,1,1,f,Waltham Forest
11095582,20,1,1,1,1,f,Wandsworth
11227101,20,2,1,1,1,f,Ealing
11333406,20,1,1,1,1,f,Southwark
11395560,20,1,1,1,1,f,Hackney
11447457,20,1,1,1,1,f,Islington
11466725,20,1,1,1,1,f,Haringey
11854740,20,2,1,1,1,f,Lewisham
11886657,20,2,1,1,1,f,Southwark
11986298,20,1,1,1,1,f,Havering
11988398,20,2,1,1,1,f,Barnet
12006466,20,1,1,1,1,f,Hackney
12032172,20,1,1,1,1,f,Tower Hamlets
12037309,20,2,1,1,1,f,Southwark
12045898,20,1,1,1,1,t,Hillingdon
12185174,20,1,1,1,1,f,Southwark
12259852,20,2,1,1,1,f,Redbridge
12334025,20,1,1,1,1,f,Camden
12337158,20,2,1,1,1,f,Islington
12407832,20,1,1,1,1,f,Newham
12513136,20,2,1,1,1,f,Hackney
12542461,20,1,1,1,1,f,Tower Hamlets
12677091,20,1,1,1,1,f,Southwark
12847396,20,2,1,1,1,f,Lewisham
13012722,20,2,1,1,1,f,Tower Hamlets
13022284,20,1,1,1,1,f,Wandsworth
13043154,20,2,1,1,1,f,Tower Hamlets
13053046,20,2,1,1,1,f,Waltham Forest
13088386,20,2,1,1,1,f,Hackney
13150727,20,2,1,1,1,f,Waltham Forest
13196562,20,1,1,1,1,f,Hackney
13197793,20,2,1,1,1,f,Wandsworth
13215694,20,1,1,1,1,f,Greenwich
13249289,20,1,1,1,1,f,Southwark
13290497,20,2,1,1,1,f,Barnet
13311032,20,2,1,1,1,f,Barnet
13326471,20,1,1,1,1,f,Brent
13328340,20,1,1,1,1,f,Hackney
13375738,20,2,1,1,1,f,Haringey
13393791,20,1,1,1,1,f,Brent
13548019,20,1,1,1,1,f,Lewisham
13580336,20,2,1,1,1,f,Sutton
13604317,20,2,1,1,1,f,Islington
13605584,20,2,1,1,1,f,Hackney
13649949,20,2,1,1,1,f,Hounslow
13696483,20,1,1,1,1,f,Kensington and Chelsea
13707499,20,2,1,1,1,f,Enfield
13710399,20,2,1,1,1,f,Waltham Forest
13713757,20,1,1,1,1,f,Haringey
13806992,20,2,1,1,1,f,Croydon
13856431,20,2,1,1,1,f,Haringey
13937676,20,1,1,1,1,f,Southwark
13955427,20,2,1,1,1,f,Tower Hamlets
13959166,20,2,1,1,1,f,Newham
14020298,20,1,1,1,1,f,Haringey
14051483,20,1,1,1,1,f,Lambeth
14071318,20,2,1,1,1,f,Lewisham
14081176,20,2,1,1,1,f,Hackney
14108758,20,1,1,1,1,f,Tower Hamlets
14108894,20,2,1,1,1,f,Brent
14217336,20,1,1,1,1,f,Croydon
14412967,20,1,1,1,1,f,Tower Hamlets
14422355,20,1,1,1,1,f,Hackney
14667533,20,1,1,1,1,f,Merton
15320293,20,1,1,1,1,f,Haringey
15712369,20,1,1,1,1,f,Tower Hamlets
15742691,20,1,1,1,1,f,Tower Hamlets
15886050,20,1,1,1,1,f,Lambeth
16108307,20,1,1,1,1,f,Tower Hamlets
16190589,20,2,1,1,1,f,Tower Hamlets
16241500,20,1,1,1,1,f,Lewisham
16697692,20,2,1,1,1,f,Bromley
16766674,20,1,1,1,1,f,Wandsworth
16776322,20,2,1,1,1,f,Barnet
16789599,20,1,1,1,1,f,Brent
16841644,20,2,1,1,1,f,Hackney
17153630,20,2,1,1,1,f,Greenwich
17190456,20,1,1,1,1,f,Tower Hamlets
17244613,20,2,1,1,1,f,Waltham Forest
17260279,20,1,1,1,1,f,Lewisham
17479328,20,1,1,1,1,f,Ealing
